======================================================================================================================================================
LOG DE MUDANÇAS DE ESTADO DOS PROCESSOS
Formato: [Tempo] PID | Nome | Razão | Estado Inicial -> Próximo Estado | Tabela de Páginas
[21:56:16.815] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:_,loc:_] }
[21:56:16.818] PID: 3   | fibonacci10     | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:_,loc:_] }
[21:56:16.878] PID: 1   | fatorialV2      | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:0,loc:mp], [pag:1,frame:24,loc:mp], [pag:2,frame:48,loc:mp] }
[21:56:16.880] PID: 1   | fatorialV2      | I/O bloqueado (OUT)  | RUNNING    -> BLOCKED    | TabPag: { [pag:0,frame:0,loc:mp], [pag:1,frame:24,loc:mp], [pag:2,frame:48,loc:mp] }
[21:56:16.941] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:_,loc:_] }
[21:56:16.944] PID: 3   | fibonacci10     | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:_,loc:_] }
[21:56:17.004] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:_,loc:_] }
[21:56:17.008] PID: 3   | fibonacci10     | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:_,loc:_] }
[21:56:17.068] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:_,loc:_] }
[21:56:17.072] PID: 3   | fibonacci10     | Page Fault (carregando pág 3) | RUNNING    -> BLOCKED    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:_,loc:_] }
[21:56:17.084] PID: 1   | fatorialV2      | I/O Completo (OUT)   | BLOCKED    -> READY      | TabPag: { [pag:0,frame:0,loc:mp], [pag:1,frame:24,loc:mp], [pag:2,frame:48,loc:mp] }
[21:56:17.132] PID: 1   | fatorialV2      | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:0,loc:mp], [pag:1,frame:24,loc:mp], [pag:2,frame:48,loc:mp] }
[21:56:17.151] PID: 1   | fatorialV2      | Término do processo  | TERMINATED -> TERMINATED | TabPag: { [pag:0,frame:0,loc:mp], [pag:1,frame:24,loc:mp], [pag:2,frame:48,loc:mp] }
[21:56:17.275] PID: 3   | fibonacci10     | Fim Page Fault (pág 3 carregada) | BLOCKED    -> READY      | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:17.323] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:17.326] PID: 3   | fibonacci10     | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:17.387] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:17.390] PID: 3   | fibonacci10     | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:17.450] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:17.453] PID: 3   | fibonacci10     | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:17.514] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
[21:56:17.517] PID: 3   | fibonacci10     | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:64,loc:mp] }
